s_in,  Contrast_plane_wave,  Contrast_gaussian_beam,  Contrast_gaussian_beam_abs 
0.200,  0.777,  0.800,  0.814
0.400,  0.661,  0.696,  0.723
0.600,  0.573,  0.616,  0.649
0.800,  0.502,  0.551,  0.586
1.000,  0.442,  0.495,  0.531
1.200,  0.389,  0.446,  0.481
1.400,  0.342,  0.402,  0.437
1.600,  0.300,  0.362,  0.397
1.800,  0.261,  0.326,  0.360
2.000,  0.226,  0.293,  0.325
2.200,  0.193,  0.262,  0.294
2.400,  0.163,  0.233,  0.264
2.600,  0.135,  0.206,  0.236
2.800,  0.108,  0.180,  0.209
3.000,  0.084,  0.157,  0.184
3.200,  0.060,  0.134,  0.161
3.400,  0.039,  0.113,  0.138
3.600,  0.018,  0.092,  0.117
3.800,  0.001,  0.073,  0.097
4.000,  0.019,  0.055,  0.078
4.200,  0.037,  0.038,  0.060
4.400,  0.053,  0.021,  0.043
4.600,  0.068,  0.006,  0.026
4.800,  0.083,  0.009,  0.010
5.000,  0.096,  0.023,  0.005
5.200,  0.109,  0.037,  0.019
5.400,  0.121,  0.050,  0.033
5.600,  0.133,  0.062,  0.046
5.800,  0.143,  0.074,  0.058
6.000,  0.153,  0.085,  0.070
6.200,  0.163,  0.095,  0.081
6.400,  0.171,  0.105,  0.092
6.600,  0.180,  0.115,  0.102
6.800,  0.187,  0.124,  0.112
7.000,  0.195,  0.133,  0.121
7.200,  0.201,  0.141,  0.130
7.400,  0.207,  0.149,  0.138
7.600,  0.213,  0.156,  0.146
7.800,  0.218,  0.163,  0.154
8.000,  0.223,  0.169,  0.161
8.200,  0.227,  0.176,  0.168
8.400,  0.231,  0.182,  0.174
8.600,  0.235,  0.187,  0.180
8.800,  0.238,  0.192,  0.186
9.000,  0.241,  0.197,  0.191
9.200,  0.243,  0.202,  0.196
9.400,  0.246,  0.206,  0.201
9.600,  0.247,  0.210,  0.205
9.800,  0.249,  0.213,  0.209
10.000,  0.250,  0.217,  0.213
