s_in,  Contrast_plane_wave,  Contrast_gaussian_beam,  Contrast_gaussian_beam_abs,  Contrast_gaussian_beam_abs_density_mod,  Contrast_gaussian_beam_abs_density_mod_g1_1
0.400,  0.661,  0.696,  0.723,  0.927,  0.984
0.800,  0.502,  0.551,  0.586,  0.822,  0.935
1.200,  0.389,  0.446,  0.481,  0.688,  0.849
2.000,  0.226,  0.293,  0.325,  0.478,  0.725
3.000,  0.084,  0.157,  0.184,  0.301,  0.635
4.000,  0.019,  0.055,  0.078,  0.170,  0.573
5.000,  0.096,  0.023,  0.005,  0.069,  0.525
6.000,  0.153,  0.085,  0.070,  0.011,  0.493
7.000,  0.195,  0.133,  0.121,  0.071,  0.463
8.000,  0.223,  0.169,  0.161,  0.118,  0.439
9.000,  0.241,  0.197,  0.191,  0.152,  0.419
